20 3
-3.236068 2.351141 8.796459
-3.247102 2.359158 8.631865
-3.279903 2.382989 8.471760
-3.333576 2.421985 8.320512
-3.406657 2.475081 8.182247
-3.497153 2.540830 8.060736
-3.602595 2.617438 7.959293
-3.720107 2.702816 7.880686
-3.846483 2.794634 7.827059
-3.978277 2.890387 7.799875
-4.111893 2.987465 7.799875
-4.243687 3.083219 7.827059
-4.370063 3.175037 7.880686
-4.487575 3.260414 7.959293
-4.593017 3.337022 8.060736
-4.683513 3.402771 8.182247
-4.756594 3.455868 8.320512
-4.810267 3.494864 8.471760
-4.843068 3.518695 8.631865
-4.854102 3.526712 8.796459
