20 3
-4.619398 1.913417 1.000000
-4.467332 1.850430 0.986361
-4.319414 1.789160 0.945817
-4.179680 1.731280 0.879474
-4.051939 1.678368 0.789141
-3.939677 1.631868 0.677282
-3.845957 1.593047 0.546948
-3.773333 1.562966 0.401695
-3.723789 1.542444 0.245485
-3.698674 1.532041 0.082579
-3.698674 1.532041 -0.082579
-3.723789 1.542444 -0.245485
-3.773333 1.562966 -0.401695
-3.845957 1.593047 -0.546948
-3.939677 1.631868 -0.677282
-4.051939 1.678368 -0.789141
-4.179680 1.731280 -0.879474
-4.319414 1.789160 -0.945817
-4.467332 1.850430 -0.986361
-4.619398 1.913417 -1.000000
