39 3
-0.607397 -4.65145 34.3386
-0.173282 -4.49398 34.386
0.261293 -4.32323 34.386
0.693074 -4.14551 34.386
1.14842 -4.04928 34.386
1.61401 -4.01504 34.386
2.06586 -3.90281 34.386
2.51068 -3.76089 34.386
2.95983 -3.63313 34.386
3.39253 -3.45728 34.386
3.81884 -3.2668 34.386
4.21908 -3.02743 34.386
4.57909 -2.73027 34.386
4.86674 -2.36703 34.386
5.01258 -1.92596 34.386
5.17812 -1.49247 34.386
5.4268 -1.09814 34.386
5.60233 -0.666474 34.386
5.74576 -0.222122 34.386
5.80892 0.239063 34.386
5.82871 0.705703 34.386
5.88375 1.16935 34.386
5.96039 1.63013 34.386
5.93211 2.09171 34.386
5.74073 2.51487 34.386
5.51429 2.92319 34.386
5.3376 3.35496 34.386
5.17951 3.79416 34.386
4.89728 4.15962 34.386
4.52376 4.43961 34.386
4.15153 4.72177 34.386
3.77637 5.00001 34.386
3.39948 5.27595 34.386
3.00341 5.52286 34.386
2.5875 5.7353 34.386
2.16781 5.94034 34.386
1.75242 6.15395 34.386
1.33358 6.36064 34.3859
0.924726 6.57417 34.335
