20 3
-3.236068 -2.351141 3.769911
-3.247102 -2.359158 3.605317
-3.279903 -2.382989 3.445212
-3.333576 -2.421985 3.293964
-3.406657 -2.475081 3.155698
-3.497153 -2.540830 3.034187
-3.602595 -2.617438 2.932745
-3.720107 -2.702816 2.854138
-3.846483 -2.794634 2.800511
-3.978277 -2.890387 2.773327
-4.111893 -2.987465 2.773327
-4.243687 -3.083219 2.800511
-4.370063 -3.175037 2.854138
-4.487575 -3.260414 2.932745
-4.593017 -3.337022 3.034187
-4.683513 -3.402771 3.155698
-4.756594 -3.455868 3.293964
-4.810267 -3.494864 3.445212
-4.843068 -3.518695 3.605317
-4.854102 -3.526712 3.769911
