39 3
-0.726665 -6.46816 30.5375
-0.130673 -6.35545 30.6019
0.426519 -6.13845 30.6422
0.959716 -5.89314 30.6768
1.49022 -5.66168 30.711
2.01979 -5.44291 30.7423
2.53901 -5.21161 30.7681
3.0383 -4.94717 30.7887
3.49245 -4.61928 30.8111
3.88523 -4.22673 30.8355
4.2518 -3.81787 30.8599
4.64521 -3.43778 30.8908
5.047 -3.06091 30.9265
5.44784 -2.68499 30.9651
5.81069 -2.27484 30.9952
6.11377 -1.82588 31.0151
6.36662 -1.35201 31.0334
6.5864 -0.860935 31.0553
6.73873 -0.348773 31.0723
6.82486 0.182737 31.0813
6.86788 0.721261 31.0881
6.88371 1.26262 31.0977
6.85851 1.80599 31.1032
6.76503 2.3397 31.0963
6.61603 2.86218 31.0818
6.43465 3.37354 31.0697
6.2084 3.86882 31.055
5.91004 4.32636 31.0237
5.53279 4.71663 30.9702
5.12619 5.08362 30.9144
4.7192 5.45495 30.8678
4.32265 5.84164 30.8331
3.93943 6.24314 30.8062
3.5566 6.64619 30.7821
3.15811 7.03622 30.7556
2.71187 7.3795 30.7174
2.22251 7.66692 30.6676
1.7141 7.93178 30.6105
1.19204 8.18457 30.5469
