39 3
-0.308943 -3.242 15.0123
0.150407 -2.95356 15.005
0.604199 -2.65692 15.005
1.12366 -2.49837 15.005
1.64497 -2.34316 15.005
2.176 -2.22563 15.005
2.69874 -2.07726 15.005
3.1907 -1.84707 15.005
3.6758 -1.60334 15.005
4.197 -1.44974 15.005
4.7305 -1.34447 15.005
5.26876 -1.26671 15.005
5.80851 -1.19914 15.005
6.34799 -1.12948 15.005
6.882 -1.0261 15.005
7.40617 -0.885102 15.005
7.91111 -0.6889 15.005
8.36057 -0.388665 15.005
8.6569 0.0600295 15.005
8.78366 0.586988 15.005
8.83287 1.12835 15.005
8.79405 1.66924 15.005
8.58954 2.16991 15.005
8.26305 2.6024 15.005
7.87301 2.98072 15.005
7.45993 3.33456 15.005
7.03914 3.67926 15.005
6.59215 3.98831 15.005
6.10727 4.23242 15.005
5.59116 4.40132 15.005
5.05864 4.51095 15.005
4.52466 4.61383 15.005
3.99995 4.75639 15.005
3.47993 4.91601 15.005
2.95709 5.06599 15.005
2.43031 5.20161 15.005
1.90497 5.34265 15.005
1.38577 5.50456 15.005
0.894704 5.73247 15.0247
