20 3
4.000000 0.000000 0.000000
4.013639 0.000000 -0.164595
4.054183 0.000000 -0.324699
4.120526 0.000000 -0.475947
4.210859 0.000000 -0.614213
4.322718 0.000000 -0.735724
4.453052 0.000000 -0.837166
4.598305 0.000000 -0.915773
4.754515 0.000000 -0.969400
4.917421 0.000000 -0.996584
5.082579 0.000000 -0.996584
5.245485 0.000000 -0.969400
5.401695 0.000000 -0.915773
5.546948 0.000000 -0.837166
5.677282 0.000000 -0.735724
5.789141 0.000000 -0.614213
5.879474 0.000000 -0.475947
5.945817 0.000000 -0.324699
5.986361 0.000000 -0.164595
6.000000 0.000000 -0.000000
