39 3
-0.612791 -5.93625 22.6561
0.00736226 -5.89242 22.6564
0.626362 -5.80303 22.6591
1.252 -5.76552 22.6569
1.88216 -5.75594 22.6545
2.51534 -5.71847 22.6584
3.14855 -5.63331 22.671
3.78314 -5.51781 22.6907
4.41283 -5.35134 22.7213
5.01871 -5.09733 22.7596
5.56635 -4.72536 22.8025
6.01743 -4.24127 22.8441
6.38728 -3.69766 22.8808
6.70102 -3.12179 22.9147
6.94981 -2.51635 22.9409
7.15437 -1.89715 22.963
7.3927 -1.2925 23.0021
7.77141 -0.75935 23.0862
8.30896 -0.318833 23.2311
8.92021 0.158948 23.4285
9.5008 0.805804 23.651
9.06688 1.55365 23.4257
8.43806 2.04685 23.265
7.93355 2.52124 23.1466
7.59608 3.08704 23.0748
7.39877 3.70408 23.0496
7.23695 4.33112 23.0391
7.03633 4.94741 23.0253
6.7429 5.52723 22.9964
6.38417 6.07094 22.9601
5.98721 6.59035 22.9236
5.5328 7.06532 22.885
5.0079 7.46274 22.847
4.42455 7.76373 22.813
3.81085 7.98605 22.7871
3.18302 8.14434 22.7664
2.54946 8.25462 22.754
1.91603 8.33672 22.7462
1.28809 8.43034 22.7397
