39 3
-0.491546 -5.13851 19.8752
0.106523 -5.20499 19.781
0.696054 -5.33435 19.6644
1.30879 -5.42069 19.5659
1.93979 -5.46978 19.4824
2.58504 -5.45966 19.4185
3.23154 -5.36586 19.3767
3.86799 -5.20187 19.3553
4.48782 -4.98042 19.3524
5.07915 -4.69432 19.3683
5.62893 -4.33945 19.4018
6.1338 -3.92911 19.4484
6.58957 -3.47109 19.5026
6.97157 -2.9564 19.5637
7.26767 -2.39051 19.6261
7.5601 -1.8267 19.6864
7.91789 -1.30528 19.7458
8.31125 -0.809541 19.8048
8.66695 -0.28265 19.8514
8.92631 0.300299 19.882
9.03677 0.92741 19.9007
8.98781 1.5644 19.9114
8.77419 2.16323 19.9118
8.45408 2.71244 19.8986
8.11264 3.24098 19.8767
7.81148 3.79038 19.8488
7.54866 4.36208 19.8132
7.25621 4.92811 19.7733
6.87552 5.43996 19.7344
6.41519 5.88738 19.7011
5.93233 6.31037 19.6677
5.44272 6.72846 19.6338
4.92702 7.11787 19.6061
4.3717 7.45247 19.5904
3.77381 7.70659 19.5919
3.15087 7.88413 19.609
2.51535 7.98679 19.6441
1.88043 8.03251 19.69
1.25088 8.05504 19.7442
