39 3
-0.762905 -6.9489 27.5333
-0.110505 -6.80133 27.5819
0.512272 -6.60535 27.6289
1.11966 -6.3992 27.6761
1.7142 -6.18414 27.7247
2.27526 -5.90817 27.7701
2.79016 -5.57041 27.8091
3.30296 -5.24885 27.849
3.83797 -4.97458 27.8958
4.37818 -4.70895 27.9487
4.90853 -4.41412 28.0001
5.41599 -4.07048 28.0478
5.89128 -3.67232 28.0914
6.33463 -3.22821 28.1336
6.72392 -2.73463 28.1677
7.03761 -2.18735 28.1907
7.28473 -1.61195 28.2102
7.46671 -1.01814 28.2292
7.57168 -0.415305 28.2481
7.61862 0.179096 28.2607
7.64494 0.766349 28.2687
7.66188 1.35291 28.27
7.66056 1.94605 28.2651
7.61532 2.55056 28.2542
7.50425 3.15737 28.2408
7.33486 3.76145 28.2289
7.09893 4.34656 28.2148
6.7727 4.88993 28.1884
6.34653 5.35543 28.1423
5.8811 5.76689 28.0866
5.4186 6.16903 28.04
4.96065 6.57015 28.0019
4.48844 6.95283 27.9621
3.99316 7.30423 27.916
3.47975 7.63349 27.8676
2.966 7.96968 27.8215
2.45562 8.32779 27.7785
1.92055 8.6733 27.7307
1.33884 8.96399 27.6769
