20 3
-3.236068 2.351141 2.513274
-3.247102 2.359158 2.348680
-3.279903 2.382989 2.188575
-3.333576 2.421985 2.037327
-3.406657 2.475081 1.899061
-3.497153 2.540830 1.777550
-3.602595 2.617438 1.676108
-3.720107 2.702816 1.597501
-3.846483 2.794634 1.543874
-3.978277 2.890387 1.516690
-4.111893 2.987465 1.516690
-4.243687 3.083219 1.543874
-4.370063 3.175037 1.597501
-4.487575 3.260414 1.676108
-4.593017 3.337022 1.777550
-4.683513 3.402771 1.899061
-4.756594 3.455868 2.037327
-4.810267 3.494864 2.188575
-4.843068 3.518695 2.348680
-4.854102 3.526712 2.513274
