20 3
1.236068 3.804226 1.256637
1.240283 3.817197 1.092042
1.252811 3.855757 0.931938
1.273313 3.918853 0.780690
1.301227 4.004765 0.642424
1.335793 4.111150 0.520913
1.376069 4.235104 0.419471
1.420954 4.373248 0.340864
1.469226 4.521812 0.287237
1.519567 4.676745 0.260053
1.570603 4.833820 0.260053
1.620944 4.988753 0.287237
1.669216 5.137318 0.340864
1.714101 5.275461 0.419471
1.754376 5.399416 0.520913
1.788943 5.505800 0.642424
1.816857 5.591712 0.780690
1.837359 5.654808 0.931938
1.849887 5.693368 1.092042
1.854102 5.706339 1.256637
