39 3
-0.366076 -4.27541 18.0594
0.168011 -4.4165 17.8885
0.713425 -4.54838 17.7072
1.27994 -4.66189 17.5201
1.88612 -4.70114 17.3856
2.50878 -4.68953 17.2684
3.13544 -4.63355 17.1734
3.76672 -4.54065 17.1014
4.39737 -4.40128 17.0567
5.01419 -4.19623 17.0525
5.59173 -3.90524 17.0965
6.12623 -3.55881 17.1681
6.62425 -3.18068 17.2581
7.05889 -2.74431 17.3596
7.46318 -2.28507 17.4634
7.85388 -1.80801 17.5599
8.24236 -1.32234 17.6501
8.59744 -0.80751 17.7258
8.86631 -0.242293 17.7834
9.02513 0.361258 17.8232
9.06003 0.980565 17.846
8.97552 1.5906 17.8574
8.76338 2.16476 17.8569
8.44585 2.68659 17.8455
8.08664 3.17734 17.8242
7.73438 3.67262 17.7932
7.41397 4.18399 17.7519
7.08898 4.69248 17.7009
6.69966 5.15457 17.6467
6.25458 5.57198 17.5954
5.78488 5.96778 17.5411
5.30147 6.35785 17.4845
4.78764 6.72004 17.4361
4.22577 7.0238 17.4136
3.62486 7.24697 17.4269
3.00488 7.39488 17.4768
2.38088 7.46482 17.5631
1.76573 7.47142 17.6763
1.16225 7.453 17.7999
