39 3
-0.647975 -6.01786 23.6419
-0.0307615 -5.97532 23.6496
0.589527 -5.91516 23.6571
1.21085 -5.86985 23.6658
1.8345 -5.83912 23.6794
2.46058 -5.78736 23.7
3.08253 -5.67606 23.7281
3.69772 -5.52071 23.7634
4.3011 -5.32019 23.8052
4.87111 -5.0391 23.849
5.36745 -4.63817 23.8868
5.76002 -4.13901 23.9124
6.09233 -3.59815 23.9354
6.37611 -3.03053 23.9573
6.59934 -2.43829 23.9773
6.76819 -1.82053 23.9954
6.97074 -1.20107 24.0296
7.323 -0.651828 24.1261
7.78989 -0.200604 24.2963
8.24513 0.260615 24.4907
8.57535 0.809193 24.6542
8.35492 1.4038 24.5374
7.90661 1.90076 24.3418
7.48389 2.40357 24.1799
7.191 2.98819 24.0949
7.04406 3.61847 24.0706
6.93721 4.24284 24.0621
6.75909 4.846 24.0504
6.47483 5.40327 24.0257
6.14787 5.94777 23.9996
5.79779 6.48343 23.9769
5.40569 6.9922 23.9532
4.92804 7.42955 23.9189
4.37573 7.76534 23.8786
3.7812 8.01959 23.8389
3.16536 8.20641 23.8042
2.5393 8.33967 23.7751
1.91003 8.4315 23.753
1.28752 8.53956 23.7351
