39 3
-0.658061 -5.73729 32.4386
-0.118282 -5.64364 32.5207
0.404595 -5.50837 32.5789
0.923012 -5.37386 32.6306
1.43921 -5.24949 32.681
1.95459 -5.12018 32.7257
2.46366 -4.94584 32.7506
2.95696 -4.72847 32.7617
3.44278 -4.50153 32.7758
3.92207 -4.25092 32.7904
4.36819 -3.9343 32.7945
4.73819 -3.53413 32.7879
5.02632 -3.07971 32.7856
5.29681 -2.62493 32.7923
5.59568 -2.19814 32.8028
5.86143 -1.76023 32.8125
6.06923 -1.29291 32.8189
6.20634 -0.80192 32.8159
6.19684 -0.300222 32.7823
6.11063 0.193367 32.7359
6.06687 0.700721 32.7091
6.09556 1.20357 32.7119
6.11658 1.69446 32.7202
6.10574 2.17986 32.7311
6.01691 2.6566 32.7374
5.88056 3.12389 32.7412
5.70558 3.58509 32.7415
5.45245 4.0093 32.7342
5.1225 4.3824 32.7215
4.7664 4.73745 32.7077
4.4565 5.14046 32.7092
4.18051 5.57686 32.7219
3.87689 6.0094 32.7339
3.49861 6.38197 32.7348
3.07267 6.70545 32.717
2.60703 6.9681 32.6724
2.12386 7.19432 32.6081
1.62674 7.39909 32.53
1.11942 7.58981 32.4424
