39 3
-0.749991 -6.66388 29.5395
-0.143068 -6.52557 29.5972
0.428361 -6.29212 29.6384
0.973662 -6.02973 29.6738
1.51662 -5.78436 29.7121
2.04631 -5.53032 29.7493
2.54188 -5.22796 29.7771
3.01993 -4.90705 29.804
3.50525 -4.60982 29.8387
3.98269 -4.30764 29.8822
4.44585 -3.98353 29.9265
4.88495 -3.62481 29.9663
5.30119 -3.23853 30.0036
5.69591 -2.83132 30.0406
6.05119 -2.39219 30.0718
6.35135 -1.91419 30.0949
6.61214 -1.41689 30.1182
6.8427 -0.906726 30.1448
7.01349 -0.373955 30.1658
7.10878 0.176374 30.1757
7.15749 0.736031 30.1818
7.17399 1.29652 30.1891
7.1465 1.85909 30.192
7.04737 2.41392 30.1838
6.89203 2.9559 30.1684
6.69723 3.48882 30.1517
6.4569 4.001 30.1315
6.14991 4.47766 30.0978
5.76853 4.89712 30.046
5.36159 5.29456 29.9925
4.95846 5.69782 29.95
4.55762 6.10714 29.9172
4.13757 6.4976 29.8803
3.69249 6.85719 29.8362
3.22895 7.20033 29.7911
2.75786 7.54378 29.7482
2.28344 7.88969 29.7098
1.78663 8.22571 29.6691
1.2526 8.51329 29.6136
