20 3
1.236068 -3.804226 11.309734
1.240283 -3.817197 11.145139
1.252811 -3.855757 10.985034
1.273313 -3.918853 10.833786
1.301227 -4.004765 10.695521
1.335793 -4.111150 10.574010
1.376069 -4.235104 10.472567
1.420954 -4.373248 10.393960
1.469226 -4.521812 10.340333
1.519567 -4.676745 10.313149
1.570603 -4.833820 10.313149
1.620944 -4.988753 10.340333
1.669216 -5.137318 10.393960
1.714101 -5.275461 10.472567
1.754376 -5.399416 10.574010
1.788943 -5.505800 10.695521
1.816857 -5.591712 10.833786
1.837359 -5.654808 10.985034
1.849887 -5.693368 11.145139
1.854102 -5.706339 11.309734
