39 3
-0.334111 -3.86343 17.1367
0.193974 -3.84569 17.0229
0.734749 -3.8557 16.8903
1.28116 -3.88165 16.7353
1.85554 -3.88016 16.6074
2.44245 -3.85246 16.4912
3.03434 -3.82111 16.3555
3.63328 -3.77089 16.2289
4.23982 -3.65783 16.1573
4.83408 -3.49341 16.1224
5.41572 -3.2925 16.1188
5.98478 -3.09509 16.1187
6.53154 -2.84154 16.179
7.05665 -2.55169 16.2779
7.53544 -2.19613 16.3996
7.99414 -1.80393 16.5165
8.42997 -1.36222 16.6245
8.81299 -0.848146 16.7155
9.09106 -0.256078 16.7843
9.24247 0.381456 16.8322
9.23856 1.02797 16.8583
9.10702 1.65024 16.8698
8.84502 2.21409 16.8666
8.51482 2.72778 16.854
8.15247 3.20833 16.8326
7.78029 3.67053 16.801
7.41094 4.1298 16.7589
7.02201 4.56802 16.7077
6.59768 4.97741 16.6516
6.13329 5.3393 16.593
5.64891 5.68572 16.5311
5.14468 6.00756 16.4671
4.61202 6.30089 16.4186
4.04535 6.54348 16.4045
3.45463 6.72728 16.4319
2.85689 6.851 16.504
2.26032 6.92392 16.6121
1.67705 6.96119 16.7459
1.10378 6.98575 16.888
