20 3
-3.535534 3.535534 1.000000
-3.419148 3.419148 0.986361
-3.305937 3.305937 0.945817
-3.198988 3.198988 0.879474
-3.101220 3.101220 0.789141
-3.015299 3.015299 0.677282
-2.943568 2.943568 0.546948
-2.887984 2.887984 0.401695
-2.850064 2.850064 0.245485
-2.830842 2.830842 0.082579
-2.830842 2.830842 -0.082579
-2.850064 2.850064 -0.245485
-2.887984 2.887984 -0.401695
-2.943568 2.943568 -0.546948
-3.015299 3.015299 -0.677282
-3.101220 3.101220 -0.789141
-3.198988 3.198988 -0.879474
-3.305937 3.305937 -0.945817
-3.419148 3.419148 -0.986361
-3.535534 3.535534 -1.000000
