39 3
-0.618074 -5.25779 33.3597
-0.126625 -5.1386 33.446
0.357187 -4.99343 33.4999
0.834959 -4.85451 33.5403
1.31695 -4.74015 33.5785
1.80342 -4.62482 33.611
2.2828 -4.47607 33.6252
2.75492 -4.30091 33.6306
3.22402 -4.1191 33.6425
3.68961 -3.91427 33.6608
4.13817 -3.6687 33.6746
4.5484 -3.35942 33.6739
4.91008 -2.99847 33.674
5.22066 -2.5936 33.6775
5.46512 -2.15192 33.6799
5.65427 -1.69184 33.671
5.85234 -1.23471 33.6731
5.95604 -0.753129 33.6445
5.95787 -0.268623 33.6052
5.84942 0.208249 33.559
5.81922 0.700252 33.5351
5.92626 1.1824 33.5412
6.05941 1.65848 33.5595
6.10136 2.14805 33.5784
5.97192 2.6139 33.5875
5.82417 3.07485 33.6007
5.68415 3.54884 33.6171
5.46623 4.00197 33.6205
5.11497 4.35999 33.6043
4.74504 4.68491 33.5974
4.40967 5.03462 33.6116
4.09098 5.41035 33.6407
3.73726 5.7665 33.6686
3.31944 6.05037 33.6529
2.87656 6.29451 33.6159
2.42851 6.51296 33.5693
1.97714 6.73261 33.5148
1.52719 6.94965 33.4469
1.08362 7.17208 33.3534
