39 3
-0.557293 -5.63787 20.7189
0.0665847 -5.52899 20.7142
0.685251 -5.53872 20.6644
1.30833 -5.56169 20.6109
1.93988 -5.57178 20.5638
2.5792 -5.54736 20.5262
3.22086 -5.46487 20.5008
3.85889 -5.32824 20.4883
4.48617 -5.13548 20.4888
5.08735 -4.86621 20.5047
5.64098 -4.50804 20.5364
6.14788 -4.08721 20.5786
6.6095 -3.61795 20.6265
6.99256 -3.08483 20.6781
7.27744 -2.49783 20.7288
7.50001 -1.89068 20.7744
7.75549 -1.30278 20.815
8.10759 -0.767679 20.8608
8.49994 -0.262822 20.9005
8.8128 0.290166 20.9273
8.95614 0.910922 20.94
8.87734 1.52169 20.9574
8.62947 2.09512 20.9611
8.27529 2.63135 20.9411
7.9611 3.1897 20.9199
7.74272 3.792 20.9051
7.5424 4.40141 20.8837
7.28245 4.99472 20.8528
6.91092 5.528 20.8167
6.46164 5.99821 20.7813
5.98779 6.44355 20.7463
5.49534 6.86789 20.7134
4.96533 7.24446 20.6878
4.39643 7.55758 20.6725
3.79464 7.79925 20.6687
3.17232 7.97291 20.6751
2.53982 8.08942 20.6907
1.90561 8.16438 20.7136
1.2746 8.23286 20.7389
