39 3
-0.728539 -6.65763 25.535
-0.0778589 -6.56921 25.5633
0.55204 -6.4244 25.6004
1.14732 -6.19974 25.6486
1.72483 -5.95155 25.6968
2.31 -5.74544 25.7382
2.89514 -5.55218 25.7784
3.47166 -5.33901 25.8187
4.04136 -5.11054 25.8587
4.60061 -4.86245 25.8964
5.1388 -4.56838 25.9263
5.6086 -4.17155 25.9498
5.98649 -3.68044 25.9811
6.28095 -3.12912 26.0223
6.48516 -2.54786 26.0754
6.58729 -1.93453 26.1427
6.63599 -1.29118 26.2262
6.84601 -0.671162 26.2743
7.19288 -0.161237 26.2969
7.52328 0.305355 26.3336
7.69582 0.809967 26.3607
7.58466 1.33192 26.3434
7.3112 1.82664 26.3134
7.01599 2.36434 26.295
6.8165 2.98601 26.2626
6.78743 3.63245 26.1999
6.79194 4.25678 26.1352
6.65414 4.84934 26.0875
6.34913 5.38191 26.055
5.95971 5.86254 26.0309
5.56178 6.33442 26.0071
5.13408 6.77421 25.9825
4.675 7.18281 25.9539
4.16018 7.52644 25.9159
3.61681 7.83032 25.8737
3.04659 8.08677 25.8286
2.46169 8.31697 25.7842
1.87306 8.55416 25.7418
1.29959 8.85218 25.6932
