39 3
-0.69653 -6.1257 31.4975
-0.124041 -6.05315 31.5786
0.433401 -5.91762 31.6354
0.976619 -5.77094 31.685
1.51437 -5.61641 31.727
2.04566 -5.43606 31.759
2.56619 -5.22464 31.781
3.07468 -4.98542 31.7951
3.56718 -4.71182 31.8039
4.00751 -4.36158 31.8079
4.34326 -3.91833 31.8207
4.59973 -3.43128 31.8431
4.85591 -2.94404 31.8624
5.2105 -2.52698 31.8746
5.58607 -2.14846 31.8934
5.93018 -1.75602 31.915
6.18644 -1.30676 31.9309
6.37233 -0.827197 31.9419
6.4703 -0.323481 31.9428
6.48765 0.190954 31.9321
6.49765 0.709492 31.9282
6.5026 1.22785 31.9328
6.47641 1.74286 31.9352
6.39493 2.24962 31.9302
6.26801 2.74484 31.9231
6.10362 3.22967 31.9171
5.89484 3.69616 31.9092
5.62549 4.13338 31.891
5.27332 4.50941 31.8507
4.88474 4.85822 31.8063
4.49694 5.22103 31.7769
4.13358 5.62214 31.7627
3.82344 6.06744 31.7566
3.51968 6.5201 31.7527
3.14382 6.91859 31.7374
2.68467 7.22272 31.6984
2.18382 7.45659 31.6367
1.66792 7.6647 31.564
1.14865 7.87222 31.4867
