39 3
-0.754358 -6.86401 26.5236
-0.0978064 -6.73354 26.5655
0.537302 -6.57365 26.6082
1.14828 -6.36964 26.6534
1.72948 -6.11674 26.7016
2.28231 -5.82709 26.749
2.82681 -5.54019 26.7927
3.37986 -5.27928 26.8347
3.94139 -5.03948 26.879
4.50739 -4.80577 26.9256
5.07004 -4.54928 26.971
5.61733 -4.23858 27.01
6.11269 -3.82773 27.0387
6.51284 -3.31645 27.0623
6.78504 -2.73046 27.0916
6.95343 -2.1168 27.1393
7.12272 -1.50961 27.179
7.2948 -0.910215 27.2145
7.48292 -0.334813 27.2458
7.60857 0.232013 27.2746
7.69415 0.789998 27.2902
7.68339 1.36214 27.2844
7.58831 1.92953 27.2663
7.46423 2.51584 27.2433
7.30742 3.11617 27.2229
7.18023 3.73382 27.1927
7.05052 4.35481 27.1585
6.86935 4.96267 27.1176
6.49896 5.4878 27.092
6.04418 5.92931 27.0625
5.57044 6.33623 27.0334
5.08761 6.72021 26.999
4.5907 7.08253 26.9606
4.07266 7.41451 26.9171
3.53902 7.72445 26.8712
2.99643 8.02525 26.825
2.45219 8.33625 26.7791
1.89994 8.65215 26.7311
1.32472 8.95562 26.6808
