20 3
-3.236068 -2.351141 10.053096
-3.247102 -2.359158 9.888502
-3.279903 -2.382989 9.728397
-3.333576 -2.421985 9.577149
-3.406657 -2.475081 9.438884
-3.497153 -2.540830 9.317373
-3.602595 -2.617438 9.215930
-3.720107 -2.702816 9.137323
-3.846483 -2.794634 9.083696
-3.978277 -2.890387 9.056512
-4.111893 -2.987465 9.056512
-4.243687 -3.083219 9.083696
-4.370063 -3.175037 9.137323
-4.487575 -3.260414 9.215930
-4.593017 -3.337022 9.317373
-4.683513 -3.402771 9.438884
-4.756594 -3.455868 9.577149
-4.810267 -3.494864 9.728397
-4.843068 -3.518695 9.888502
-4.854102 -3.526712 10.053096
