39 3
-0.765141 -6.82369 28.5407
-0.133146 -6.68682 28.5947
0.46758 -6.4776 28.6405
1.0464 -6.244 28.6842
1.62113 -6.02156 28.7334
2.17345 -5.76573 28.7779
2.68595 -5.45121 28.8101
3.18112 -5.12308 28.8417
3.69141 -4.83177 28.8866
4.20553 -4.54989 28.9405
4.69695 -4.22726 28.9886
5.15413 -3.85089 29.0259
5.58127 -3.44002 29.0597
5.98604 -3.00934 29.0973
6.35959 -2.54647 29.134
6.67616 -2.04453 29.1622
6.94281 -1.51804 29.1883
7.16052 -0.968768 29.2126
7.30958 -0.405132 29.229
7.3839 0.172291 29.2351
7.42351 0.750077 29.2395
7.44169 1.32815 29.2453
7.42652 1.90996 29.2481
7.34831 2.48915 29.2433
7.21114 3.06393 29.2315
7.01641 3.62448 29.2152
6.76111 4.16147 29.1923
6.43385 4.66046 29.1553
6.03695 5.09898 29.1008
5.6098 5.51279 29.046
5.19084 5.93341 29.0059
4.77827 6.35799 28.976
4.34138 6.76119 28.9414
3.86806 7.12102 28.8951
3.37392 7.45483 28.8439
2.88063 7.80037 28.7989
2.39073 8.16671 28.7617
1.87507 8.51614 28.7202
1.31064 8.8063 28.6633
