39 3
-0.410531 -4.65749 19.0007
0.132409 -4.86054 18.8225
0.695489 -5.03573 18.6561
1.29145 -5.15487 18.5117
1.91426 -5.22551 18.3875
2.55847 -5.22894 18.2919
3.20814 -5.14329 18.2328
3.84877 -4.98956 18.2021
4.47393 -4.78062 18.1948
5.07188 -4.50824 18.2119
5.63028 -4.17068 18.252
6.14833 -3.78434 18.3101
6.60689 -3.34135 18.3805
6.9875 -2.8403 18.4584
7.3026 -2.29841 18.5356
7.64065 -1.76758 18.6086
8.03913 -1.28213 18.6849
8.43318 -0.794513 18.7535
8.75926 -0.260008 18.807
8.97262 0.329664 18.8434
9.04449 0.952132 18.8638
8.98014 1.57485 18.8733
8.76765 2.16108 18.8715
8.4411 2.68965 18.8599
8.06912 3.18609 18.8411
7.71939 3.69892 18.8138
7.44189 4.25458 18.7724
7.16129 4.80741 18.7224
6.79458 5.30963 18.6761
6.34437 5.74661 18.6366
5.87139 6.16278 18.5956
5.38945 6.57783 18.5536
4.88141 6.96833 18.5163
4.32652 7.30096 18.4965
3.72509 7.54738 18.503
3.09876 7.70959 18.5361
2.46416 7.7941 18.5945
1.83472 7.81418 18.6723
1.21473 7.80543 18.7611
