39 3
-0.59114 -5.86943 21.6704
0.0352726 -5.76092 21.6714
0.658586 -5.68593 21.6598
1.28563 -5.65504 21.6396
1.91737 -5.64494 21.6187
2.55328 -5.61261 21.6039
3.19171 -5.53878 21.5973
3.83108 -5.42722 21.5987
4.46572 -5.26434 21.6103
5.07586 -5.01043 21.6351
5.63557 -4.6546 21.6706
6.13361 -4.21395 21.7153
6.56673 -3.70892 21.7642
6.93736 -3.15733 21.8121
7.22009 -2.55727 21.8529
7.4098 -1.92579 21.8823
7.59863 -1.29931 21.912
7.99456 -0.776014 21.9627
8.52933 -0.341369 22.0092
9.13417 0.15701 22.0286
9.5714 0.87444 21.9952
9.18627 1.5877 22.0739
8.62345 2.09309 22.0561
8.13997 2.57585 22.0235
7.77486 3.1248 21.9907
7.60348 3.75521 21.9797
7.45448 4.3912 21.97
7.22212 5.00403 21.9472
6.87964 5.56289 21.9119
6.46933 6.07388 21.872
6.02444 6.55512 21.8322
5.54139 6.9989 21.795
5.00151 7.37173 21.7647
4.41769 7.66446 21.7438
3.80598 7.88504 21.7308
3.17985 8.04434 21.7257
2.54712 8.15782 21.7274
1.91394 8.24627 21.7325
1.28502 8.34434 21.7396
