39 3
-0.31567 -3.49983 16.1824
0.178838 -3.31848 16.1129
0.687491 -3.15568 16.0577
1.22374 -3.08976 15.964
1.76749 -3.03688 15.8689
2.32245 -2.98335 15.7714
2.88691 -2.9026 15.6945
3.45151 -2.81492 15.596
4.01634 -2.70088 15.5097
4.56691 -2.52761 15.4686
5.12126 -2.34835 15.4605
5.66898 -2.18117 15.4702
6.21809 -2.0192 15.4961
6.76425 -1.85934 15.5319
7.30931 -1.69638 15.5676
7.85087 -1.50366 15.6031
8.37651 -1.22909 15.6459
8.83257 -0.797302 15.705
9.11689 -0.194435 15.7732
9.23367 0.453648 15.8195
9.24525 1.09088 15.8472
9.12911 1.7069 15.8671
8.85462 2.25744 15.8803
8.5027 2.74013 15.8834
8.11661 3.17773 15.8735
7.719 3.59479 15.8497
7.30855 3.9903 15.8176
6.87857 4.36199 15.7777
6.4199 4.69923 15.7303
5.93219 4.9904 15.6773
5.4164 5.22465 15.6369
4.88362 5.43342 15.6045
4.34267 5.63175 15.5864
3.78667 5.81326 15.5928
3.22738 5.96266 15.6275
2.6656 6.07706 15.7033
2.1057 6.16965 15.8033
1.56035 6.26584 15.9111
1.02854 6.38294 16.0305
