20 3
1.236068 -3.804226 5.026548
1.240283 -3.817197 4.861954
1.252811 -3.855757 4.701849
1.273313 -3.918853 4.550601
1.301227 -4.004765 4.412336
1.335793 -4.111150 4.290824
1.376069 -4.235104 4.189382
1.420954 -4.373248 4.110775
1.469226 -4.521812 4.057148
1.519567 -4.676745 4.029964
1.570603 -4.833820 4.029964
1.620944 -4.988753 4.057148
1.669216 -5.137318 4.110775
1.714101 -5.275461 4.189382
1.754376 -5.399416 4.290824
1.788943 -5.505800 4.412336
1.816857 -5.591712 4.550601
1.837359 -5.654808 4.701849
1.849887 -5.693368 4.861954
1.854102 -5.706339 5.026548
